"variable","theta","alpha","lambda","mse","msesd","nonzero","rho"
1,0.75,0.3,0.0848342898244071,0.308140429177916,0.437187747641836,2.87234042553191,0.832782342680092
1,0.75,0.3,0.0517947467923121,0.298581856368261,0.420646358748141,2.80851063829787,0.837801020643471
1,0.75,0.3,0.0316227766016838,0.303572012903256,0.4326577145639,3.61702127659574,0.834549746684247
1,0.75,0.3,0.0193069772888325,0.309873788743694,0.451170324534348,5.21276595744681,0.830916948225914
1,0.75,0.3,0.0117876863479359,0.310853565675593,0.469852761890679,5.5531914893617,0.830616156536323
1,0.75,0.3,0.00719685673001152,0.311327770729046,0.483645186707094,5.70212765957447,0.830654182046208
1,0.75,0.3,0.00439397056076079,0.313366881145314,0.493799864311866,5.91489361702128,0.829798901450607
1,0.75,0.3,0.00268269579527972,0.314765967890827,0.499505100788768,5.95744680851064,0.829272734850537
1,0.75,0.3,0.00163789370695406,0.315672711341874,0.501463735848234,5.97872340425532,0.828972561005773
1,0.75,0.3,0.000999999999999999,0.316264824769067,0.50187241931288,5.97872340425532,0.828793876399622
1,1,0.3,1,0.569418077411374,0.735310492118194,1,0.657524775907958
1,1,0.3,0.610540229658533,0.533611736642303,0.701586008813975,2.02127659574468,0.683125788019326
1,1,0.3,0.372759372031494,0.432966176449744,0.590954666113132,2.53191489361702,0.754475001797426
1,1,0.3,0.227584592607479,0.365300257707407,0.515040862865026,2.82978723404255,0.799721388982806
1,1,0.3,0.138949549437314,0.324655327945158,0.466987758985023,2.91489361702128,0.824384788318049
1,1,0.3,0.0848342898244071,0.304871863193997,0.438960629308484,2.95744680851064,0.835120610257616
1,1,0.3,0.0517947467923121,0.294668828584589,0.421814841644013,2.93617021276596,0.840311757363315
1,1,0.3,0.0316227766016838,0.296003541492861,0.430070410744989,3.57446808510638,0.839156820992875
1,1,0.3,0.0193069772888325,0.300070595396239,0.450706244114229,4.97872340425532,0.836792253017438
1,1,0.3,0.0117876863479359,0.302275270039703,0.470769511527222,5.48936170212766,0.835712063783072
1,1,0.3,0.00719685673001152,0.301809406990126,0.484060006449722,5.63829787234043,0.836252837497536
1,1,0.3,0.00439397056076079,0.302929512924619,0.494009127874917,5.72340425531915,0.835898310288331
1,1,0.3,0.00268269579527972,0.305058960628535,0.500933552743357,5.85106382978723,0.83495759123471
1,1,0.3,0.00163789370695406,0.30699802717365,0.50582559036818,5.93617021276596,0.834073115035225
1,1,0.3,0.000999999999999999,0.308527164001378,0.50908946099282,5.93617021276596,0.833365211995115
1,1.5,0.3,1,0.542255294075742,0.712320846492864,1,0.677475505572858
1,1.5,0.3,0.610540229658533,0.540742717985453,0.712322452569169,1.40425531914894,0.678590935910899
1,1.5,0.3,0.372759372031494,0.4491100450467,0.615472961152937,2.36170212765957,0.742964177129182
